City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Guanica,PR,81.61,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
5,Rikitea,PF,75.87,light rain,-23.1203,-134.9692,People ThankYou
14,Vao,NC,75.25,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
15,Omboue,GA,79.56,overcast clouds,-1.5746,9.2618,Hotel Olako
24,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Butaritari,KI,80.53,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
30,Karratha,AU,76.73,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
34,Vaini,TO,77.16,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
36,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
38,Aransas Pass,US,84.22,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
42,Poum,NC,75.97,clear sky,-20.2333,164.0167,
46,Ahuimanu,US,76.86,light rain,21.4447,-157.8378,Paradise Bay Resort
52,Baghdad,IQ,83.35,broken clouds,33.3406,44.4009,Baghdad Hotel
58,Kirakira,SB,80.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
62,Manapparai,IN,86.86,broken clouds,10.6,78.4167,VIJAY GUEST HOUSE (LODGE)
68,Caririacu,BR,84.29,few clouds,-7.0422,-39.2836,Pousada Serrana
72,Hilo,US,77.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
73,Kieta,PG,78.4,light rain,-6.2167,155.6333,Uruna Bay Retreat
81,Acarau,BR,80.65,few clouds,-2.8856,-40.12,castelo pizzaria
82,Atuona,PF,78.89,clear sky,-9.8,-139.0333,Villa Enata
89,Saint-Philippe,RE,78.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Hithadhoo,MV,85.53,overcast clouds,-0.6,73.0833,Scoop Guest House
93,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
101,Calabozo,VE,79.63,overcast clouds,8.9242,-67.4293,Hotel Giardini
103,Victoria,HK,78.19,light rain,22.2855,114.1577,Mini Hotel Central
105,Ler,SS,82.13,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
106,Nioro,GM,86.65,broken clouds,13.35,-15.75,
107,Curvelo,BR,81.79,few clouds,-18.7564,-44.4308,Pontal Plaza Hotel
110,Padang,ID,77.34,light rain,-0.9492,100.3543,Mercure Padang
113,Merauke,ID,79.56,moderate rain,-8.4667,140.3333,
116,Kapaa,US,77.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
117,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
120,Tadine,NC,75.18,light rain,-21.55,167.8833,
121,Itarema,BR,80.33,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
123,Namatanai,PG,78.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
125,Faanui,PF,81.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Takoradi,GH,81.45,overcast clouds,4.8845,-1.7554,Raybow International Hotel
127,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
132,Hurricane,US,80.94,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
136,Mogadishu,SO,83.61,light rain,2.0371,45.3438,Hotel Juba
138,Cabo San Lucas,MX,86.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
147,Semporna,MY,79.23,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
150,Moroni,KM,79.27,moderate rain,-11.7022,43.2551,Hotel les Arcades
154,Houma,US,88.02,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
158,Houston,US,89.4,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
171,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
172,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
174,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Hotel los Algarrobos
177,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
179,Barstow,US,83.16,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
184,Presidente Medici,BR,84.97,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
185,Touros,BR,80.98,few clouds,-5.1989,-35.4608,INN NEW HORIZON
194,San Patricio,US,86.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
196,Tautira,PF,79.92,light rain,-17.7333,-149.15,Pension Oaoa
201,San Borja,BO,85.46,clear sky,-14.8167,-66.85,
202,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
205,Mamallapuram,IN,86.05,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
207,Kupang,ID,77.27,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
211,Waddan,LY,82.36,broken clouds,29.1614,16.139,محل الشريف محمد العايب
217,Vanimo,PG,76.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
219,Tay Ninh,VN,79.29,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
220,Elat,IL,82.24,dust,29.5581,34.9482,Club Hotel Eilat
225,Harper,LR,81.01,overcast clouds,4.375,-7.7169,Screensaver
232,Buala,SB,79.86,light rain,-8.145,159.5921,Maringe Lagoon Lodge
233,Auki,SB,78.67,overcast clouds,-8.7676,160.7034,Auki Motel
234,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
237,Bengkulu,ID,76.19,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
238,Malakal,SS,88.09,few clouds,9.5334,31.6605,Nile Palace Hotel
243,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
244,Koungou,YT,80.31,light rain,-12.7336,45.2042,Villa Netibor
246,Meulaboh,ID,78.53,overcast clouds,4.1363,96.1285,Kost Pria
249,Fayaoue,NC,77.5,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
254,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
258,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
262,Kavieng,PG,81.41,light rain,-2.5744,150.7967,Nusa Island Retreat
263,Cururupu,BR,79.95,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
264,Simpsonville,US,81.55,scattered clouds,34.7371,-82.2543,Hampton Inn Greenville/Simpsonville
265,Samarai,PG,79.77,broken clouds,-10.6167,150.6667,Nuli Sapi
